"index","label","query","numeric_output","data_status","row_count","category","remark"
"1","Query 1","Show vehicle registrations in Maharashtra for January 2025.","289682","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"2","Query 2","Show registrations in Delhi from February 2025 to March 2025.","109830","live","2","pass","Verified numeric result from a completed official Public Dashboard refresh."
"3","Query 3","Show diesel vehicle registrations in Karnataka during April 2024.","13145","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"4","Query 4","Show petrol vehicle registrations in Tamil Nadu during May 2024.","114104","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"5","Query 5","Show EV registrations in Uttar Pradesh during June 2024.","27971","live","2","pass","Verified numeric result from a completed official Public Dashboard refresh."
"6","Query 6","Show CNG registrations in Gujarat during July 2024.","3940","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"7","Query 7","Show electric BOV registrations in Rajasthan during August 2024.","4960","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"8","Query 8","Show pure EV registrations in West Bengal during September 2024.","1421","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"9","Query 9","Show two wheeler registrations in Bihar during October 2024.","87817","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"10","Query 10","Show three wheeler registrations in Kerala during November 2024.","2470","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"11","Query 11","Show four wheeler registrations in Telangana during December 2024.","15714","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"12","Query 12","Show LMV registrations in Madhya Pradesh during January 2025.","36296","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"13","Query 13","Show HMV registrations in Odisha during February 2025.","2","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"14","Query 14","Show motor car registrations in Assam during March 2025.","5942","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"15","Query 15","Show bus registrations in Jharkhand during April 2025.","162","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"16","Query 16","Show goods carrier registrations in Haryana during May 2025.","4758","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"17","Query 17","Show passenger e-rickshaw registrations in Punjab during June 2025.","965","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"18","Query 18","Show scooter registrations in Andhra Pradesh during July 2025.","47494","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"19","Query 19","Show BS VI vehicle registrations in Chandigarh during August 2025.","3497","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"20","Query 20","Show BS IV vehicle registrations in Goa during September 2025.","","fetch_failed","0","scrape_failed","Official source did not return the requested monthly values. Command failed: C:\Program Files\nodejs\node.exe scripts/vahan-scraper.mjs --mode scrape --no-persist --emit-rows-json --states Goa --years 2025 --months 9 --norms BHARAT STAGE IV [scraper] direct attempt 1/3 failed for 2025 Goa All RTOs: Public dashboard returned no monthly values for ALL. [scraper] direct attempt 2/3 failed for 2025 Goa All RTOs: Public dashboard returned no monthly values for ALL. [scraper] direct attempt 3/3 failed for 2025 Goa All RTOs: Public dashboard returned no monthly values for ALL. Failed: 2025 Goa All RTOs: Public dashboard returned no monthly values for ALL. Error: 1 scrape item(s) failed. See data\vahan\vahan_fuel_monthly_errors.jsonl at scrape (file:///C:/Users/amogh/Desktop/BHAIYA/Vahan%20EY/scripts/vahan-scraper.mjs:1937:13) at async main (file:///C:/Users/amogh/Desktop/BHAIYA/Vahan%20EY/scripts/vahan-scraper.mjs:2080:9)"
"21","Query 21","Show BS III motor car registrations in Maharashtra during October 2025.","1","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"22","Query 22","Show BS VI diesel motor car registrations in Delhi during November 2025.","866","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"23","Query 23","Show motor car registrations at MH-12 RTO during January 2025.","7961","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"24","Query 24","Show diesel registrations at DL-01 RTO during February 2025.","","missing","0","data_missing","No verified numeric result: the exact dashboard slice is missing. Do not treat the displayed zero as a confirmed zero."
"25","Query 25","Show EV registrations at KA-01 RTO during March 2025.","","missing","0","data_missing","No verified numeric result: the exact dashboard slice is missing. Do not treat the displayed zero as a confirmed zero."
